position,accuracy,f1_macro,n_windows
2,0.8458481363280544,0.8478046143630067,16607
3,0.8341484030670773,0.8354698783242219,16563
4,0.8411345790979365,0.8411824268505378,16429
5,0.8412355026741182,0.8408952953185727,16641
6,0.8505885904014489,0.8515611000410175,16565
7,0.8575896078903055,0.8590833523038629,16628
8,0.8046171511452227,0.8047863548401458,16547
9,0.8189941435730242,0.8191650213718883,16563
10,0.8285295554469956,0.827330041669227,16376
