session,accuracy,f1_macro,n_windows
1,0.6175213675213675,0.6283884817719664,4680
2,0.620682302771855,0.6226069321868511,4690
3,0.5793349698727962,0.5807640283853429,4481
4,0.7098910489211707,0.7119228060103234,4681
5,0.692549183758895,0.6985502393324844,4778
6,0.6743697478991597,0.6763891469039898,4760
7,0.6852781263069845,0.6908422665795407,4782
8,0.7080323922083607,0.711814590670075,4569
9,0.6870362287210825,0.6914687012061451,4582
