epoch,train_loss,val_loss,val_accuracy,val_f1_macro
1,1.5612089901102406,1.072099965885135,0.6077916393083825,0.600761761111604
2,1.3021079369315012,0.9249778199075843,0.6653534690304224,0.6749917317208789
3,1.2038518180127817,0.7924755307876142,0.7113153862989713,0.7101195117129847
4,1.1261941326147185,0.6878459437145501,0.7454585248413219,0.751482088210998
5,1.0805074693773447,0.6389125016644112,0.7736922740205734,0.7747445123263728
6,1.03989756297382,0.7054996539790304,0.7406434668417596,0.7428092292148815
7,0.9979959949455968,0.5954654868647316,0.7837601225651127,0.7852976023241469
8,0.9669878520912664,0.5592606688359812,0.8025826220179471,0.8047034751324961
9,0.941113755806538,0.5638624726747574,0.7968920989275553,0.7996835563843417
10,0.9175716834163408,0.5428067481760437,0.8032392208360691,0.8056575476858103
11,0.9005887580729186,0.6097651664473396,0.7791639308382579,0.7826374514919802
12,0.8746585956545623,0.6316284634243036,0.7596848325673013,0.7599874933418196
13,0.86554555899098,0.5353877139276737,0.8152768658349748,0.8172006111867238
14,0.8431807770112695,0.5259228748868451,0.8014882906544102,0.8034545565565454
15,0.8389445733089697,0.48868113879785413,0.8292843072882469,0.8317640698004602
16,0.8245212833512242,0.5873032304814828,0.7852921864740644,0.7867273249620327
17,0.8159756237596434,0.506351334348396,0.8187787261982928,0.8214958138619384
18,0.7949696891607644,0.5515624779362365,0.8038958196541913,0.8053980352003436
19,0.795192893386896,0.5262612269929995,0.8023637557452397,0.8032332336160983
20,0.7823859752679209,0.5109781222000088,0.8224994528343182,0.8243730226097838
21,0.7702689849581449,0.5492033053081076,0.8124316042897789,0.8125697582102761
22,0.7729261119211558,0.5039939451762951,0.8126504705624863,0.8127394217943784
23,0.760245850767133,0.4946659459186399,0.82818997592471,0.8300497390222928
