scenario,mean_accuracy,min_accuracy,mean_f1_macro
electrode_shift_calibrated,0.5031392180200848,0.4749236252545825,0.5017924382209478
interday_calibrated,0.6638550408868524,0.5793349698727962,0.6680830214496355
fatigue,0.835853963291576,0.8046171511452227,0.8363642316758313
