position,accuracy,f1_macro,n_windows
1,0.4759755995654717,0.4766550591155257,23934
2,0.5382177557232809,0.5372541153425874,23981
3,0.5259919638372677,0.522361219685072,23892
4,0.5092109690444145,0.5050939626714596,23776
5,0.4984681243966928,0.4974958641580431,23827
6,0.4994751207222339,0.499768171543014,23815
7,0.4749236252545825,0.47360451513468255,23568
8,0.4940463756005849,0.4952624360813167,23935
9,0.5008219871011255,0.4989794067912247,23723
10,0.5142606589551927,0.5114496316865529,23947
