epoch,train_loss,val_loss,val_accuracy,val_f1_macro,target_session
1,1.5007486498390887,1.190618313580669,0.5796398891966759,0.5995790394103461,1
2,1.4154169515626065,1.1878712448056714,0.5789473684210527,0.5995268259549835,1
3,1.3761563465077236,1.1774894160907354,0.5810249307479224,0.6031723511165116,1
4,1.341428638144096,1.1809075856142757,0.5865650969529086,0.6087849223163122,1
5,1.3294844907245837,1.1725987318149895,0.5817174515235457,0.6022364679165509,1
6,1.3081793468990368,1.1789272845286742,0.5803324099722992,0.6008599576532682,1
7,1.2872873571948662,1.179918622045966,0.5761772853185596,0.5959390836384609,1
8,1.2785083527217227,1.1894697796274751,0.5734072022160664,0.5924819385434077,1
9,1.2526527269846757,1.1826036990184203,0.5740997229916898,0.5921115008084195,1
1,1.4418312647288338,1.0241486973215115,0.6423357664233577,0.6389946382048964,2
2,1.3701383829897438,1.0647249618902377,0.6065029860650298,0.610124024788978,2
3,1.3369538952009967,1.036572596452532,0.6184472461844724,0.6220694607541034,2
4,1.3243509110088179,1.080920692698878,0.59721300597213,0.5981053577926707,2
5,1.2996301751130175,1.0053016985182581,0.641672196416722,0.6390548911655668,2
6,1.291257519503412,1.0578508636535362,0.6204379562043796,0.6209579295925456,2
1,1.5251393163397864,1.1649428318985462,0.6303116147308782,0.6250653745924202,3
2,1.4174839064681597,1.1688855413674633,0.6225212464589235,0.621289510582869,3
3,1.3717338103407866,1.1616926058155956,0.6069405099150141,0.6082882502848653,3
4,1.3419816539492573,1.1439368795740705,0.6111898016997167,0.6135523448473084,3
5,1.3318828959994706,1.148439897018519,0.6083569405099151,0.6105399469843256,3
6,1.3251656435106283,1.149475055781032,0.6005665722379604,0.6000091268779861,3
1,1.459027094859153,1.019869864760099,0.6034589252625078,0.5954648533605778,4
2,1.3717043747784883,0.9925018081774014,0.6139592340951204,0.6090520167503358,4
3,1.3475538522243689,0.9672159456853295,0.625077208153181,0.6169716375903452,4
4,1.3349170598603246,0.9557561666749008,0.6287831995058678,0.6184905696995976,4
5,1.2931257046212485,0.9382878197351306,0.6392835083384806,0.6300388773503348,4
6,1.2804493905209011,0.9312870617336959,0.6368128474366893,0.6241129642520068,4
7,1.2629401300629068,0.9235412193493315,0.6300185299567634,0.6145307656454093,4
8,1.260457961464479,0.9083153746097157,0.6454601605929586,0.6298061502419152,4
9,1.2444307318445984,0.908855002371156,0.6429894996911674,0.6297922983463113,4
10,1.2497174250420848,0.8967370877227642,0.6553428042001236,0.6429240521589877,4
11,1.2307496928123527,0.8754091323563314,0.6590487955528104,0.646175206545623,4
12,1.2156168147168582,0.8765158500842212,0.6596664607782582,0.6447670639521986,4
13,1.2228076187608936,0.8816937836619937,0.6646077825818406,0.6505364786804647,4
14,1.2170622573622976,0.8780227818556816,0.6590487955528104,0.6428263884841322,4
15,1.211014768789096,0.8766252079298645,0.6596664607782582,0.6408083567180071,4
16,1.198757471758513,0.8704375617293534,0.6646077825818406,0.6460560555919249,4
17,1.19633119296239,0.8577501870291405,0.670166769610871,0.6454436609204436,4
18,1.179835481035974,0.8532908576885221,0.6757257566399012,0.656233604348437,4
1,1.5854618204034499,1.3223636180121094,0.5589459084604715,0.5694681671715452,5
2,1.472749915350394,1.3001506922149129,0.5339805825242718,0.5513199415359853,5
3,1.4086174073872724,1.2919763493637106,0.5464632454923717,0.5607213671661011,5
4,1.3944943555724145,1.2750310742408657,0.5527045769764216,0.5697366963561751,5
5,1.3522909689477605,1.272372596968229,0.5499306518723994,0.5671327397165368,5
6,1.3405495407117212,1.228534647892649,0.5638002773925104,0.577889711469106,5
7,1.3178279911540238,1.2684004000916396,0.5450762829403606,0.5528141477880683,5
8,1.3237634652573251,1.255480110397286,0.5610263522884882,0.5661530766457168,5
9,1.3003740144012947,1.2397458715346252,0.5693481276005548,0.5721666072026245,5
10,1.2877433407122165,1.2250126474607999,0.579750346740638,0.5862835249058571,5
11,1.2751267167836957,1.191209401899171,0.5929264909847434,0.6066057519132624,5
12,1.2723240103979028,1.181022247725816,0.5943134535367545,0.6017006972931292,5
13,1.2590996812571065,1.1799907786836241,0.5984743411927878,0.6056207553005272,5
14,1.2507879261522303,1.2232520621626453,0.5846047156726768,0.5806817771171376,5
15,1.2383494288933057,1.1609011761193138,0.6158113730929264,0.6168012319784184,5
16,1.2389684649433026,1.1391986925955784,0.6081830790568654,0.6178988889918114,5
17,1.2349341383396761,1.1093357803090766,0.628987517337032,0.6248830577513583,5
18,1.2258550278627753,1.134097259848194,0.6206657420249653,0.6162857773090175,5
1,1.4720952117914232,0.9552849679396896,0.6818783068783069,0.6659639764781721,6
2,1.3834073916318372,0.949403239936425,0.6944444444444444,0.676816865645489,6
3,1.3432077492999106,0.9596672625768752,0.6871693121693122,0.6661139394019523,6
4,1.2992933219918676,0.9480001257840919,0.6977513227513228,0.6796105850745384,6
5,1.271418848086316,0.9422133098203669,0.6858465608465608,0.6668687981729288,6
6,1.2413427987680665,0.9159084962158607,0.6917989417989417,0.671759223927196,6
7,1.2215798079834155,0.8922629205007402,0.6957671957671958,0.6820460130007434,6
8,1.2080737915378053,0.8886800597584437,0.6924603174603174,0.6740007372159608,6
9,1.2083610102160192,0.871740804147468,0.6990740740740741,0.6807901041869024,6
10,1.198255038131033,0.8743617651323793,0.6878306878306878,0.6698159345467352,6
11,1.1872697982686151,0.861589928783437,0.6891534391534392,0.6674374909603065,6
12,1.1867346597968302,0.8612540304345428,0.6825396825396826,0.661090156021444,6
13,1.171242938153103,0.8546867465216016,0.6851851851851852,0.6632400308988576,6
14,1.1723295989215536,0.8603799242191214,0.6673280423280423,0.6455909422432887,6
1,1.5212135531048325,1.2148947790655167,0.537303664921466,0.5288272727192074,7
2,1.4246033753290444,1.1912263113790782,0.5268324607329843,0.5214595637399447,7
3,1.376247802843189,1.1765146898349543,0.5242146596858639,0.5225738845404796,7
4,1.336204460650649,1.1510289570423946,0.5366492146596858,0.5354922827055649,7
5,1.3226240858870006,1.1340021356862253,0.5327225130890052,0.5320189726248497,7
6,1.3015833007786728,1.102778062770504,0.543848167539267,0.5418553727684083,7
7,1.275725273932084,1.1188454203580687,0.537303664921466,0.5390123390323399,7
8,1.2737489664165336,1.1101657695171097,0.556282722513089,0.5530974549302785,7
9,1.2599688350341502,1.1088218557897038,0.5418848167539267,0.5426596017923263,7
10,1.248197752260437,1.1025515332896048,0.5451570680628273,0.5486919534381264,7
11,1.23452880494991,1.0957639192411412,0.5366492146596858,0.5385478432843861,7
12,1.2160421423003474,1.070066290376074,0.5543193717277487,0.5537149753117934,7
13,1.231025258247655,1.0702369082036443,0.56217277486911,0.5595056647315656,7
14,1.2048054642571715,1.0710052932120118,0.5536649214659686,0.5495641190797799,7
15,1.202629501837806,1.0455771896851624,0.5674083769633508,0.567707710750154,7
16,1.1935795934391487,1.061466695750571,0.5589005235602095,0.5561491240006782,7
17,1.1913631383847432,1.0519919682547685,0.5608638743455497,0.5629305487282451,7
18,1.174929126666482,1.0378269381548098,0.5785340314136126,0.5801228909668582,7
1,1.5815101722741247,1.0022820907618168,0.7098808689558515,0.6913766965953848,8
2,1.4563284578758575,0.9436399753726941,0.7168885774351786,0.6992891298674263,8
3,1.4145025688170654,0.9430138804149026,0.7056762438682551,0.693340810584549,8
4,1.3667236126442626,0.9234849306446068,0.7105816398037842,0.69893148683713,8
5,1.3350686036444768,0.9027318189256076,0.7252978276103714,0.7126855353861428,8
6,1.315735740717245,0.8723963512435357,0.7421163279607569,0.7267752781879303,8
7,1.3072231470384807,0.88775238225572,0.7175893482831114,0.7076892422961614,8
8,1.2961781970080222,0.8821092444695872,0.7238962859145059,0.7117666964835571,8
9,1.285290923611871,0.8731272401889889,0.7309039943938332,0.7177999716580304,8
10,1.2604215054340262,0.86193314806598,0.7365101611772951,0.7214710743655439,8
11,1.2442537169932646,0.8601220598067114,0.728801681850035,0.7172662504863707,8
1,1.577318146283717,1.1856844158830313,0.5944827586206897,0.6042844595809223,9
2,1.4702980062481514,1.1404953762580607,0.5868965517241379,0.6108918552143835,9
3,1.4159692416786294,1.1028157186508178,0.6144827586206897,0.6259741076830843,9
4,1.3826669633163537,1.1364898300170898,0.5827586206896552,0.6021332097620204,9
5,1.3348925433617527,1.0776709449702295,0.6324137931034483,0.6306805022891767,9
6,1.3227987812162143,1.1371386994986699,0.5855172413793104,0.5998535480418482,9
7,1.2961112418616019,1.1180883241521902,0.5737931034482758,0.5849549610279686,9
8,1.2900353863759695,1.1734454519995328,0.5524137931034483,0.5674111873485216,9
9,1.2792112983081485,1.103696104082568,0.5903448275862069,0.5936650395476027,9
10,1.2643357515800562,1.0862717894850107,0.6013793103448276,0.5993443353373576,9
