epoch,train_loss,val_loss,val_accuracy,val_f1_macro
1,1.7804762505047316,1.5835519187625935,0.39216837162502094,0.38160928204762296
2,1.6557541086133516,1.518775676193602,0.4164535468723797,0.4105085082722593
3,1.622328924786461,1.4921005878115827,0.4295342109676337,0.4252017339475449
4,1.6047382556403724,1.473706117556756,0.4376572195203757,0.4356836384855553
5,1.5922013390557266,1.4602301139150233,0.44412418245849405,0.44182695177497966
6,1.5797813589510243,1.451593839160632,0.4494277209458326,0.4472734419043927
7,1.5729381183913176,1.4417880758350774,0.4523205601207446,0.4512483828439454
8,1.565707927776241,1.4387618538598856,0.45403949354351836,0.45289125981086364
9,1.5603115991784429,1.4331408512186488,0.456701744088546,0.45649928747038887
10,1.5547924599491567,1.4300578671294972,0.4552972497065236,0.45338904252480255
11,1.5510525840943175,1.4264306613668467,0.4590705181955392,0.4577609830182044
12,1.5467758750706129,1.4206125985930356,0.46194239476773435,0.46119954036896393
13,1.5426472175075208,1.4185729877632496,0.4610829280563475,0.4602447180074417
14,1.540761167934168,1.4172252210898226,0.4645836827100453,0.46406361299312693
15,1.5368902906365465,1.4110644983201743,0.46706775113198057,0.46641425530578556
16,1.533788556380971,1.4045907673411135,0.4680320308569512,0.467737706944042
17,1.531625424356505,1.4089526937009103,0.4668790877075298,0.4663497309948158
18,1.5315162095697272,1.4044909773108025,0.4666799429817206,0.46609062955944563
